heights,weights,salary,age,pos
78,219,3250000,26,F
79,220,10105855,31,F
73,195,2652000,30,G
83,220,762195,27,C
79,230,11046000,33,F
79,220,1246680,22,F
79,218,5.00E+06,25,F
80,241,5016960,22,F
82,235,3563600,26,F/C
83,245,6500000,30,F/C
75,200,3135000,25,G
74,180,5625313,36,G
75,183,,23,G
78,207,12868632,29,G/F
82,257,,27,C
80,255,792377,29,F/C
81,250,1750000,26,F/C
77,220,13701250,24,G
78,210,510000,23,G/F
73,185,884293,33,G
73,185,788872,25,G
79,240,21466718,32,G/F
79,235,1186459,28,G/F
73,210,884293,39,G
81,210,788872,20,F
79,225,788872,23,F
83,235,1082520,22,F
82,245,4469548,26,F/C
75,175,490180,22,G
82,228,1399507,35,F/C
75,208,1260360,23,G
79,225,4250000,28,G/F
84,250,,27,C
81,235,,22,F
74,195,2439840,24,G
75,215,884293,23,G
80,215,3452183,23,G/F
82,240,8308500,25,F
78,210,825000,21,G
80,197,490180,23,F
77,220,780871,26,G
84,265,3183000,31,C
81,225,884293,35,F
79,260,1500000,30,F
77,228,1005000,23,G
80,240,2350820,25,F
74,175,1129200,25,G
82,270,8727437,28,C
80,225,3.00E+05,29,F
78,205,2202000,22,G
75,210,2500000,37,G
79,210,740560,21,G/F
84,240,2500000,27,F/C
75,200,13200000,30,G
87,263,1200000,26,C
82,270,2465400,20,C
79,243,916099,27,F
79,228,8.00E+06,33,F
83,232,8580000,29,F
80,230,17888932,27,F
83,235,,28,F/C
82,255,14487500,31,F/C
73,184,2568360,23,G
77,205,3229050,38,G
74,185,,27,G
77,180,2111160,21,G/F
80,240,884293,28,F
79,212,6760563,32,G/F
83,245,21679893,30,F/C
75,185,9887640,25,G
81,226,473604,25,F
73,173,788872,27,G
82,255,,25,F/C
80,225,6344164,26,F
75,201,1399507,32,G
75,190,524616,22,G
85,240,14100538,31,C
75,191,5607240,21,G
81,266,15300000,31,F
81,220,14275000,28,F
80,225,3270000,35,F
83,230,490180,22,F
80,225,884293,25,F
78,225,,33,F
82,240,2652000,26,F/C
81,254,4.00E+06,34,F/C
82,235,1298640,23,F/C
83,255,1121520,25,F/C
76,190,6500000,29,G
76,200,2339040,21,G
74,185,490180,23,G
77,215,6.00E+06,25,G/F
81,230,3183000,33,G/F
80,230,1045000,25,G/F
74,188,,38,G
77,205,8500000,27,G
83,255,2.00E+06,35,C
82,230,1399507,34,F
83,253,12433735,37,F/C
82,250,1.20E+07,27,F/C
82,230,490180,22,F
83,232,11100000,28,C
81,227,326500,24,F
80,235,4340000,33,F/C
82,235,3945000,33,F/C
82,255,3500000,26,F/C
81,240,13878000,30,F/C
78,214,490180,24,G
77,207,4319280,20,G
80,210,884293,33,G/F
81,188,5.00E+06,27,G/F
82,240,788872,28,C
80,230,1618680,23,F
74,185,1600000,27,G
81,235,68902,27,F
82,261,854389,35,F/C
82,250,884293,22,F/C
80,221,3282003,23,G/F
81,235,2016000,30,F
82,245,27859,23,C
86,280,14283844,26,C
81,235,8700000,27,F
80,198,4278000,20,F
83,250,4086454,23,F/C
80,206,473604,22,G/F
77,205,2653080,20,G
78,225,884293,33,G/F
80,230,8850000,25,F
81,234,788872,24,F
83,235,19067500,29,F/C
82,263,6008196,22,F/C
75,197,6300000,29,G
77,210,1027424,28,G
72,185,2790343,30,G
77,220,1703760,23,G/F
78,206,490180,22,G/F
83,290,2945901,31,C
84,238,1986360,22,F/C
80,239,490180,24,F
82,249,1500000,30,C
84,260,788872,24,C
83,200,947907,25,F
80,210,3500000,27,G/F
75,200,8374646,25,G
83,255,788872,26,C
85,245,2222160,21,C
81,234,854389,32,F
75,209,18466130,29,G
81,250,1027424,27,F
84,240,3857040,21,F/C
76,215,4763760,21,G
76,215,14283844,24,G
73,205,788872,23,G
80,245,1695635,33,F
80,260,1719480,22,F
76,190,,24,G
74,190,8.00E+06,27,G
78,220,884293,22,G
83,245,884293,24,C
84,235,490180,23,C
79,235,15333334,36,F
81,235,3231683,25,F
81,253,854389,27,F
82,245,2091840,24,F
81,235,1987320,24,F
82,237,3526440,22,F
82,255,2585668,32,F/C
76,190,4059000,32,G
74,190,4.00E+06,27,G
77,195,2895960,20,G
75,185,788872,23,G
78,210,4.00E+06,28,G/F
82,235,884293,24,F
76,205,,22,G
83,228,3171320,19,C
82,250,884293,36,C
83,270,4916974,23,C
82,275,884293,24,C
79,232,4809840,20,F
81,215,7235955,33,F
80,225,788872,23,F
81,252,1551840,21,F
78,250,5722500,30,F/C
81,235,315302,24,F/C
82,220,5375760,20,F/C
75,189,2793960,21,G
74,190,1074720,20,G
73,186,11954545,27,G
76,208,1550000,26,G
76,210,788872,21,G
73,195,2626474,23,G
77,198,1064400,19,G
76,195,7459925,23,G
77,215,5058198,33,G/F
81,215,854389,34,G/F
75,185,8.00E+06,27,G
76,200,2316720,22,G
80,253,9500000,28,F
79,195,1265977,32,G/F
83,245,1352640,23,C
82,225,4250000,25,F
74,200,490180,26,G
72,185,490180,22,G
78,205,30453805,35,G
83,225,1750000,24,F/C
84,155,490180,23,C
80,250,6450000,28,F
81,289,6400000,27,F/C
83,210,916099,28,F/C
76,205,8050000,26,G
78,195,884293,27,G
78,235,788872,23,F
82,235,3750000,30,F
76,200,,21,G
76,220,18673000,31,G
77,210,490180,22,G
74,215,473604,24,G
75,190,7.00E+05,24,G
79,220,1112880,24,G/F
78,225,542788,26,G/F
77,220,6875480,27,G/F
85,255,3492720,20,C
75,172,4.00E+06,33,G
78,211,2150188,26,G
80,205,,28,F
83,240,884293,39,F/C
81,230,884293,27,F
75,190,17632688,25,G
77,180,,24,G
78,220,11796247,24,G
78,175,788872,22,G
79,240,,20,G/F
79,210,582995,26,G/F
82,242,,25,F
80,230,,23,F
71,176,1536960,21,G
80,215,1500000,33,G/F
78,207,7583000,33,G/F
76,195,1046269,22,G
77,200,5225000,33,G
73,185,2438760,20,G
78,205,1196760,21,G
77,185,252016,24,G
81,260,18238333,32,F
79,230,875000,23,F
76,210,3500000,27,G
78,225,6204250,32,G/F
78,220,947907,30,G/F
79,255,,29,F
81,235,1.20E+07,28,F
79,205,,22,G/F
82,257,,22,F
82,240,1089240,22,F
81,230,788872,25,F/C
74,176,,24,G
80,212,2557545,27,F
71,175,490180,22,G
80,228,1367640,23,F
72,188,570515,22,G
76,200,,27,G
81,245,4508504,33,F
75,185,1591350,36,G
78,205,7500000,36,G
78,230,3250000,28,G/F
74,185,12500000,31,G
81,255,3229050,28,F
83,240,1.00E+07,28,C
83,260,9036364,31,F/C
83,260,2.00E+05,25,F/C
83,250,885120,31,F/C
81,245,3049920,21,F/C
82,235,12350000,24,F/C
83,240,3340920,23,F
82,225,2897976,26,F/C
85,235,1078800,21,C
83,230,4.00E+05,26,C
80,235,4702500,31,F/C
78,200,1422720,20,G
77,200,1463000,26,G
80,200,11295250,24,G/F
81,240,788872,22,F
83,275,5200000,29,F/C
84,245,22721381,35,F
83,240,788872,25,F/C
73,165,1348200,20,G
81,205,1792560,18,G/F
81,275,2761114,23,F/C
81,225,947907,25,F
82,225,10146925,25,F
80,215,1750000,25,F
77,195,2750000,27,G
83,231,3526440,21,C
84,222,1422720,23,F/C
83,260,1200000,31,F/C
83,240,7727280,29,C
84,250,11862500,28,F/C
84,242,9.00E+06,27,C
85,250,4400000,27,C
81,235,3183000,32,F
78,182,3066667,24,G
79,203,1467840,19,G/F
84,250,1500000,25,C
75,210,884293,31,G
85,265,14860524,28,C
81,224,1330000,25,F
84,250,19285850,33,F/C
75,211,6791570,32,G
76,180,3678358,22,G
82,231,4500000,26,F
83,248,4505280,21,C
79,215,3900000,29,G/F
84,255,8374646,27,C
82,220,1.20E+07,34,F
82,235,7900000,26,F
83,254,1500000,26,C
83,290,1.20E+07,27,C
85,231,490180,23,C
81,235,,21,F/C
75,190,7500000,27,G
75,192,1056720,22,G
84,252,10750000,25,C
75,190,5.00E+06,27,G
79,200,1409040,20,F
80,228,14021788,30,F
82,240,788872,23,F
84,263,2050000,33,C
83,220,1905360,22,F
81,235,884293,37,F
82,232,3153860,24,F
81,237,7500000,27,F
80,210,2923920,21,F
84,250,1633440,23,F/C
82,210,5.00E+06,26,F/C
81,250,3183000,27,F/C
73,205,3637073,29,G
76,200,2652000,25,G
71,195,10786517,25,G
76,195,2005560,22,G
79,205,1149000,22,G/F
78,220,3180000,36,G/F
78,210,3762500,26,G/F
81,205,490180,22,F
81,240,854389,30,F
80,257,490180,23,F
81,242,5150000,25,F/C
77,186,,23,G
80,235,5.00E+05,21,F
72,175,4687000,29,G
77,205,762195,25,G
84,280,,31,C
81,225,13500000,27,F
73,169,7655503,24,G
84,265,3.00E+06,24,C
84,273,884293,25,C
81,260,1365720,21,F
84,275,947907,24,F/C
73,185,8600001,26,G
79,216,6679867,24,G/F
77,220,,25,G/F
80,240,,23,F
82,251,16441500,24,F
78,210,916099,24,G
71,165,1600000,30,G
78,215,1106941,31,G/F
76,213,4494383,31,G/F
77,201,788872,24,G
78,215,,23,F
74,175,4320000,32,G
72,161,884293,28,G
76,195,1208400,22,G
79,175,884293,28,G
84,250,2090880,20,C
84,270,2690875,28,C
79,270,884293,24,F/C
82,289,13500000,28,F/C
79,245,884293,31,F
77,200,1210080,24,G/F
81,248,6500000,30,F
76,191,884293,24,G
80,215,,24,G/F
