PropNew,HowHard,HowLong
0.8,0.6,> 2 hrs
0,0,<30 min
0.6,0.4,< 1 hr
0.2,0,< 1.5 hrs
0.4,0.2,< 1.5 hrs
0.6,0.2,< 1 hr
0,0,<30 min
0.4,0.4,< 1.5 hrs
0.2,0,< 1.5 hrs
0.2,0,< 1 hr
0.4,0.2,< 1 hr
0.8,0,<30 min
1,0.4,< 2 hrs
0.6,0.4,< 1 hr
0.8,0.2,> 2 hrs
0.4,0.2,<30 min
0.2,0.4,< 2 hrs
0.6,0.2,< 1 hr
0.8,0.6,< 2 hrs
0.2,0.2,< 1 hr
1,0.4,< 2 hrs
0.8,0.4,< 1.5 hrs
0.2,0.2,< 1 hr
1,0.4,> 2 hrs
0.4,0.2,< 2 hrs
0.6,0.4,< 1 hr
0.8,0.2,< 2 hrs
0.2,0,< 1 hr
0.4,0.4,< 1.5 hrs
1,1,> 2 hrs
0.2,0.4,> 2 hrs
0.2,0.2,< 1.5 hrs
0.6,0.4,< 2 hrs
0.2,0.4,< 1.5 hrs
0.6,0.4,> 2 hrs
0.4,0.2,< 1.5 hrs
0.4,0.4,< 1.5 hrs
0.6,0.2,< 1.5 hrs
0.8,0.6,> 2 hrs
0.2,0,< 1 hr
0.8,0.4,< 1.5 hrs
0.8,0.8,< 1.5 hrs
0.8,0.2,< 1.5 hrs
